,sex,age,age_cat,decile_score,score_text,race,priors_count,juv_fel_count,juv_misd_count,juv_other_count,is_recid,score
36,Female,33,25 - 45,5,Medium,Caucasian,4,0,0,0,1,1
37,Male,24,Less than 25,2,Low,Caucasian,1,0,0,0,1,0
38,Male,34,25 - 45,9,High,African-American,21,2,1,3,1,1
39,Male,29,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
40,Female,21,Less than 25,8,High,African-American,2,0,0,0,0,1
41,Male,51,Greater than 45,1,Low,African-American,2,0,0,0,0,0
42,Male,29,25 - 45,2,Low,Caucasian,2,0,0,0,1,0
43,Female,51,Greater than 45,2,Low,African-American,7,0,0,0,0,0
44,Male,29,25 - 45,7,Medium,African-American,0,0,0,0,1,1
45,Male,25,25 - 45,10,High,Caucasian,9,0,0,0,1,1
46,Male,35,25 - 45,8,High,African-American,13,1,0,4,1,1
47,Male,49,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
49,Male,29,25 - 45,4,Low,African-American,0,0,0,0,0,0
50,Male,29,25 - 45,2,Low,Caucasian,1,0,0,0,1,0
51,Female,28,25 - 45,2,Low,Other,0,0,0,0,0,0
54,Male,31,25 - 45,5,Medium,African-American,15,0,0,1,0,1
55,Male,24,Less than 25,4,Low,African-American,2,0,0,0,1,0
56,Male,30,25 - 45,7,Medium,Hispanic,0,0,0,0,0,1
57,Male,49,Greater than 45,1,Low,African-American,4,0,0,0,0,0
58,Male,53,Greater than 45,5,Medium,Caucasian,8,0,0,0,0,1
59,Male,35,25 - 45,3,Low,African-American,5,0,0,0,0,0
61,Male,27,25 - 45,10,High,African-American,15,1,1,2,1,1
62,Male,38,25 - 45,2,Low,Caucasian,4,0,0,0,1,0
63,Male,22,Less than 25,4,Low,African-American,1,0,0,1,1,0
65,Male,29,25 - 45,9,High,African-American,4,0,0,0,1,1
66,Male,62,Greater than 45,1,Low,Hispanic,0,0,0,0,0,0
67,Male,27,25 - 45,6,Medium,African-American,6,0,1,0,1,1
68,Male,33,25 - 45,1,Low,Other,0,0,0,0,0,0
69,Female,56,Greater than 45,1,Low,African-American,0,0,0,0,0,0
70,Male,45,Greater than 45,1,Low,Hispanic,6,0,0,0,1,0
71,Male,22,Less than 25,4,Low,Hispanic,1,0,0,0,0,0
72,Male,39,25 - 45,4,Low,African-American,1,0,0,0,0,0
73,Male,29,25 - 45,6,Medium,African-American,5,0,0,0,1,1
74,Male,27,25 - 45,6,Medium,Caucasian,1,0,0,1,1,1
75,Male,40,25 - 45,2,Low,African-American,2,0,0,0,0,0
76,Male,22,Less than 25,3,Low,African-American,1,0,0,0,1,0
77,Male,22,Less than 25,8,High,Caucasian,0,0,0,0,0,1
78,Female,26,25 - 45,4,Low,African-American,1,0,0,0,1,0
80,Male,32,25 - 45,2,Low,African-American,0,0,0,0,0,0
81,Male,41,25 - 45,2,Low,African-American,1,0,0,0,0,0
82,Male,30,25 - 45,10,High,African-American,8,0,0,0,1,1
83,Male,50,Greater than 45,1,Low,Other,0,0,0,0,1,0
84,Male,25,25 - 45,10,High,African-American,14,1,6,1,1,1
85,Male,20,Less than 25,5,Medium,Other,0,0,0,0,1,1
86,Male,22,Less than 25,9,High,African-American,2,1,0,0,1,1
88,Female,35,25 - 45,2,Low,African-American,1,0,0,0,0,0
89,Male,36,25 - 45,7,Medium,African-American,9,0,0,0,1,1
90,Male,26,25 - 45,8,High,Caucasian,7,0,0,0,1,1
91,Male,21,Less than 25,6,Medium,Other,1,0,0,0,1,1
92,Male,25,25 - 45,8,High,Caucasian,9,0,0,0,1,1
94,Female,20,Less than 25,7,Medium,Caucasian,0,0,0,0,0,1
95,Male,39,25 - 45,1,Low,Caucasian,2,0,0,0,1,0
97,Female,54,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
98,Female,44,25 - 45,1,Low,Hispanic,0,0,0,0,0,0
99,Male,19,Less than 25,4,Low,African-American,1,0,0,0,1,0
101,Male,30,25 - 45,2,Low,African-American,1,0,0,0,0,0
102,Female,39,25 - 45,1,Low,Caucasian,0,0,0,0,1,0
103,Male,24,Less than 25,6,Medium,Caucasian,8,0,1,2,1,1
104,Male,30,25 - 45,4,Low,Caucasian,0,0,0,0,0,0
105,Male,31,25 - 45,5,Medium,Caucasian,0,0,0,0,0,1
106,Female,39,25 - 45,4,Low,Caucasian,1,0,0,0,0,0
108,Male,43,25 - 45,1,Low,Caucasian,1,0,0,0,0,0
109,Male,21,Less than 25,9,High,African-American,3,0,0,0,1,1
110,Male,38,25 - 45,4,Low,Caucasian,5,0,0,0,1,0
111,Male,34,25 - 45,5,Medium,Caucasian,0,0,0,0,0,1
112,Male,33,25 - 45,5,Medium,African-American,5,0,0,0,1,1
113,Male,37,25 - 45,2,Low,African-American,3,0,0,0,0,0
114,Male,42,25 - 45,2,Low,Caucasian,1,0,0,0,1,0
115,Male,41,25 - 45,9,High,African-American,10,0,1,0,1,1
116,Male,22,Less than 25,4,Low,African-American,0,0,0,0,1,0
117,Male,33,25 - 45,8,High,African-American,28,0,12,2,1,1
118,Male,31,25 - 45,7,Medium,African-American,1,0,0,0,0,1
119,Female,30,25 - 45,2,Low,Other,1,0,0,0,0,0
120,Male,31,25 - 45,10,High,Caucasian,13,0,0,0,1,1
121,Male,27,25 - 45,9,High,African-American,3,0,0,0,1,1
123,Male,52,Greater than 45,9,High,Caucasian,3,0,0,0,0,1
124,Male,33,25 - 45,10,High,African-American,19,0,0,0,1,1
127,Male,42,25 - 45,3,Low,Caucasian,6,0,0,0,0,0
128,Female,25,25 - 45,4,Low,Caucasian,2,0,0,0,0,0
129,Male,30,25 - 45,2,Low,Caucasian,1,0,0,0,0,0
131,Female,37,25 - 45,2,Low,Other,2,0,0,0,0,0
132,Male,28,25 - 45,2,Low,Caucasian,0,0,0,0,1,0
133,Female,24,Less than 25,2,Low,African-American,0,0,0,0,0,0
134,Female,29,25 - 45,4,Low,Caucasian,10,0,1,0,1,0
135,Male,44,25 - 45,2,Low,Caucasian,2,0,0,0,1,0
137,Male,32,25 - 45,7,Medium,African-American,3,0,0,0,1,1
138,Male,31,25 - 45,3,Low,Caucasian,2,0,0,0,1,0
139,Male,31,25 - 45,2,Low,African-American,1,0,0,0,0,0
140,Male,59,Greater than 45,2,Low,Caucasian,1,0,0,0,1,0
142,Female,20,Less than 25,10,High,African-American,1,1,0,0,0,1
143,Female,43,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
144,Male,38,25 - 45,8,High,African-American,9,1,1,0,1,1
145,Male,32,25 - 45,6,Medium,African-American,11,0,0,0,1,1
146,Male,33,25 - 45,5,Medium,African-American,8,0,0,0,1,1
147,Female,31,25 - 45,3,Low,African-American,0,0,0,0,1,0
148,Female,33,25 - 45,9,High,African-American,7,0,0,0,1,1
149,Male,27,25 - 45,9,High,African-American,2,0,0,0,1,1
150,Female,20,Less than 25,6,Medium,African-American,0,0,0,0,0,1
151,Female,26,25 - 45,6,Medium,Caucasian,0,0,0,0,0,1
152,Female,61,Greater than 45,1,Low,African-American,1,0,0,0,1,0
153,Male,52,Greater than 45,7,Medium,Other,13,0,0,0,1,1
154,Male,63,Greater than 45,1,Low,Hispanic,1,0,0,0,0,0
155,Female,32,25 - 45,10,High,African-American,4,0,0,0,1,1
156,Male,29,25 - 45,4,Low,Hispanic,1,0,0,0,0,0
158,Female,26,25 - 45,4,Low,African-American,2,0,0,0,1,0
160,Male,39,25 - 45,4,Low,Caucasian,1,1,0,0,0,0
161,Female,30,25 - 45,7,Medium,Caucasian,3,0,0,0,1,1
162,Male,30,25 - 45,7,Medium,African-American,1,0,0,0,0,1
163,Male,48,Greater than 45,2,Low,Caucasian,2,0,0,0,0,0
164,Male,22,Less than 25,2,Low,African-American,1,0,0,0,0,0
165,Male,46,Greater than 45,1,Low,Caucasian,6,0,0,0,1,0
167,Male,31,25 - 45,5,Medium,Caucasian,0,0,0,0,0,1
168,Male,25,25 - 45,2,Low,African-American,1,0,0,0,1,0
169,Male,23,Less than 25,3,Low,Hispanic,0,0,0,0,0,0
170,Female,32,25 - 45,7,Medium,African-American,5,0,0,0,0,1
171,Male,52,Greater than 45,1,Low,Hispanic,2,0,0,0,0,0
172,Male,62,Greater than 45,4,Low,African-American,8,0,0,0,0,0
175,Male,31,25 - 45,9,High,Hispanic,8,0,0,0,1,1
176,Male,28,25 - 45,6,Medium,African-American,6,0,0,0,1,1
177,Male,54,Greater than 45,1,Low,Hispanic,2,0,0,0,0,0
178,Male,58,Greater than 45,2,Low,Hispanic,0,0,0,0,0,0
179,Male,78,Greater than 45,1,Low,Caucasian,1,0,0,0,1,0
180,Male,56,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
181,Male,24,Less than 25,2,Low,Other,0,0,0,0,0,0
183,Male,22,Less than 25,5,Medium,African-American,1,0,0,0,1,1
184,Male,47,Greater than 45,8,High,African-American,23,0,0,0,1,1
185,Male,23,Less than 25,2,Low,African-American,0,0,0,0,1,0
186,Male,57,Greater than 45,1,Low,Hispanic,1,0,0,0,0,0
188,Male,66,Greater than 45,1,Low,African-American,3,0,0,0,0,0
189,Male,45,Greater than 45,4,Low,Caucasian,8,0,0,0,1,0
192,Male,37,25 - 45,9,High,African-American,2,0,0,0,1,1
193,Male,39,25 - 45,4,Low,Caucasian,0,0,0,0,1,0
194,Male,26,25 - 45,9,High,African-American,9,0,0,0,1,1
195,Male,45,Greater than 45,3,Low,Caucasian,2,0,0,0,0,0
196,Male,23,Less than 25,3,Low,African-American,0,0,0,0,1,0
197,Male,34,25 - 45,2,Low,African-American,2,0,0,0,0,0
198,Female,23,Less than 25,4,Low,African-American,1,0,0,0,0,0
199,Male,36,25 - 45,3,Low,Other,2,0,0,0,1,0
200,Male,50,Greater than 45,1,Low,Caucasian,1,0,0,0,0,0
201,Female,37,25 - 45,3,Low,Caucasian,0,0,0,0,0,0
202,Male,44,25 - 45,4,Low,Caucasian,4,0,0,0,0,0
203,Female,35,25 - 45,9,High,African-American,23,0,1,0,1,1
204,Male,24,Less than 25,5,Medium,Other,5,0,0,0,1,1
205,Male,26,25 - 45,10,High,African-American,2,0,0,0,1,1
206,Male,27,25 - 45,2,Low,African-American,0,0,0,0,0,0
207,Female,28,25 - 45,8,High,African-American,0,0,0,0,0,1
209,Female,28,25 - 45,9,High,Caucasian,7,0,0,0,1,1
210,Male,38,25 - 45,1,Low,African-American,2,0,0,0,0,0
212,Female,28,25 - 45,9,High,African-American,1,0,0,0,0,1
213,Male,56,Greater than 45,1,Low,Caucasian,7,0,0,0,1,0
214,Male,38,25 - 45,9,High,African-American,15,0,0,0,0,1
215,Male,28,25 - 45,5,Medium,African-American,2,0,0,0,0,1
219,Female,51,Greater than 45,1,Low,Caucasian,0,0,0,0,1,0
220,Male,51,Greater than 45,2,Low,Caucasian,0,0,0,0,0,0
221,Male,36,25 - 45,1,Low,Other,1,0,0,0,1,0
222,Male,48,Greater than 45,1,Low,African-American,0,0,0,0,0,0
223,Male,37,25 - 45,3,Low,Caucasian,4,0,0,0,1,0
224,Female,30,25 - 45,7,Medium,African-American,2,0,0,0,0,1
225,Female,41,25 - 45,6,Medium,African-American,5,0,0,0,0,1
226,Male,27,25 - 45,10,High,African-American,11,0,0,0,1,1
227,Male,37,25 - 45,1,Low,African-American,0,0,0,0,0,0
228,Male,33,25 - 45,4,Low,Other,4,0,0,0,1,0
229,Male,54,Greater than 45,9,High,African-American,11,0,0,0,0,1
230,Male,23,Less than 25,9,High,African-American,2,0,0,0,0,1
232,Male,41,25 - 45,1,Low,African-American,0,0,0,0,0,0
233,Male,52,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
234,Male,43,25 - 45,4,Low,Caucasian,13,0,0,0,1,0
235,Male,52,Greater than 45,4,Low,African-American,0,0,0,0,0,0
236,Male,28,25 - 45,1,Low,Caucasian,1,0,0,0,0,0
237,Male,30,25 - 45,9,High,African-American,11,0,0,2,1,1
238,Male,28,25 - 45,5,Medium,Caucasian,1,0,0,0,0,1
239,Male,22,Less than 25,4,Low,African-American,0,0,0,0,0,0
240,Male,30,25 - 45,2,Low,African-American,4,0,0,0,0,0
241,Male,25,25 - 45,4,Low,Hispanic,4,0,0,0,0,0
242,Male,31,25 - 45,8,High,Caucasian,0,0,0,0,1,1
243,Male,37,25 - 45,2,Low,Caucasian,0,0,0,0,1,0
244,Male,32,25 - 45,9,High,African-American,14,0,1,0,0,1
246,Male,53,Greater than 45,1,Low,Caucasian,1,0,0,0,0,0
247,Male,28,25 - 45,8,High,African-American,25,0,0,0,1,1
248,Male,44,25 - 45,5,Medium,Caucasian,8,0,0,0,1,1
249,Male,25,25 - 45,3,Low,African-American,0,0,0,0,0,0
250,Male,22,Less than 25,8,High,Caucasian,1,0,0,1,1,1
251,Female,37,25 - 45,1,Low,Other,0,0,0,0,0,0
252,Female,40,25 - 45,2,Low,Other,3,0,0,0,0,0
258,Female,31,25 - 45,2,Low,Hispanic,0,0,0,0,0,0
259,Male,23,Less than 25,6,Medium,Hispanic,1,0,0,1,1,1
260,Female,23,Less than 25,5,Medium,Caucasian,5,0,0,4,1,1
261,Male,24,Less than 25,8,High,Hispanic,0,0,0,0,0,1
262,Male,29,25 - 45,3,Low,African-American,1,0,0,0,0,0
263,Male,20,Less than 25,8,High,African-American,1,0,0,0,1,1
264,Male,30,25 - 45,6,Medium,African-American,2,0,0,0,1,1
265,Male,39,25 - 45,1,Low,Other,0,0,0,0,0,0
266,Male,27,25 - 45,4,Low,African-American,4,0,0,0,0,0
268,Female,37,25 - 45,1,Low,African-American,2,0,0,0,0,0
269,Male,20,Less than 25,8,High,African-American,0,0,0,0,0,1
270,Male,22,Less than 25,7,Medium,Hispanic,0,0,0,1,0,1
271,Female,52,Greater than 45,1,Low,African-American,0,0,0,0,0,0
272,Female,23,Less than 25,4,Low,African-American,0,0,0,0,1,0
273,Female,48,Greater than 45,2,Low,African-American,0,0,0,0,0,0
275,Male,25,25 - 45,5,Medium,Caucasian,0,0,0,0,0,1
276,Male,27,25 - 45,6,Medium,Caucasian,0,0,0,0,1,1
277,Male,30,25 - 45,7,Medium,African-American,11,0,0,0,1,1
278,Male,22,Less than 25,10,High,African-American,3,0,1,1,1,1
279,Female,22,Less than 25,3,Low,Caucasian,1,0,0,0,0,0
282,Female,41,25 - 45,3,Low,African-American,2,0,0,0,0,0
283,Female,25,25 - 45,2,Low,Other,0,0,0,0,0,0
285,Male,52,Greater than 45,6,Medium,African-American,3,0,0,0,1,1
286,Male,43,25 - 45,1,Low,African-American,0,0,0,0,0,0
287,Male,37,25 - 45,1,Low,Caucasian,3,0,0,0,0,0
289,Male,70,Greater than 45,1,Low,Caucasian,1,0,0,0,0,0
291,Male,46,Greater than 45,4,Low,Caucasian,3,0,0,0,0,0
292,Male,21,Less than 25,9,High,African-American,0,0,0,0,1,1
293,Male,26,25 - 45,8,High,African-American,1,0,0,0,1,1
294,Male,38,25 - 45,1,Low,Hispanic,3,0,0,0,1,0
295,Male,34,25 - 45,4,Low,Caucasian,5,0,0,0,0,0
297,Male,34,25 - 45,4,Low,African-American,5,0,0,0,0,0
298,Male,23,Less than 25,5,Medium,Caucasian,0,0,0,0,1,1
299,Male,34,25 - 45,4,Low,African-American,5,0,0,0,1,0
301,Male,39,25 - 45,3,Low,African-American,6,0,0,0,1,0
302,Male,24,Less than 25,3,Low,Other,0,0,0,0,0,0
304,Male,58,Greater than 45,3,Low,Caucasian,2,0,0,0,0,0
305,Female,21,Less than 25,6,Medium,African-American,0,0,0,0,0,1
307,Male,23,Less than 25,8,High,African-American,4,0,0,1,1,1
308,Male,62,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
310,Male,37,25 - 45,3,Low,Caucasian,5,0,0,0,0,0
311,Male,43,25 - 45,2,Low,Other,2,0,0,0,1,0
312,Female,32,25 - 45,1,Low,African-American,5,0,0,0,0,0
313,Male,23,Less than 25,3,Low,Hispanic,0,0,0,0,0,0
314,Male,27,25 - 45,1,Low,African-American,0,0,0,0,0,0
315,Male,44,25 - 45,1,Low,Caucasian,0,0,0,0,1,0
316,Male,28,25 - 45,3,Low,Caucasian,3,0,0,0,1,0
317,Female,42,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
318,Male,24,Less than 25,10,High,Other,9,0,1,0,1,1
319,Male,27,25 - 45,2,Low,African-American,0,0,0,0,0,0
320,Male,20,Less than 25,10,High,African-American,0,0,0,0,1,1
321,Female,51,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
322,Male,56,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
323,Male,29,25 - 45,9,High,African-American,7,0,0,0,0,1
324,Male,20,Less than 25,9,High,African-American,0,0,0,0,1,1
326,Male,27,25 - 45,5,Medium,Caucasian,8,0,0,0,0,1
327,Male,24,Less than 25,9,High,African-American,2,0,1,0,1,1
328,Male,53,Greater than 45,6,Medium,Caucasian,36,0,0,0,1,1
329,Male,28,25 - 45,3,Low,Caucasian,2,0,0,0,1,0
331,Male,21,Less than 25,5,Medium,Hispanic,3,0,1,0,0,1
332,Female,36,25 - 45,7,Medium,African-American,0,0,0,0,0,1
333,Female,25,25 - 45,4,Low,Caucasian,2,0,0,0,1,0
334,Female,23,Less than 25,3,Low,Hispanic,1,0,0,0,0,0
335,Male,28,25 - 45,5,Medium,Caucasian,1,0,0,0,0,1
336,Female,21,Less than 25,8,High,African-American,0,0,0,0,1,1
337,Male,36,25 - 45,3,Low,Caucasian,0,0,0,0,0,0
338,Male,24,Less than 25,3,Low,African-American,0,0,0,0,0,0
340,Male,30,25 - 45,2,Low,Other,1,0,0,0,1,0
341,Male,29,25 - 45,1,Low,African-American,0,0,0,0,0,0
342,Female,30,25 - 45,6,Medium,Caucasian,0,0,0,0,0,1
343,Male,51,Greater than 45,1,Low,Hispanic,1,0,0,0,0,0
346,Male,32,25 - 45,9,High,African-American,12,0,1,0,1,1
347,Male,23,Less than 25,6,Medium,African-American,1,0,0,1,0,1
348,Male,47,Greater than 45,3,Low,African-American,3,0,0,0,0,0
350,Male,37,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
351,Male,19,Less than 25,10,High,African-American,2,0,2,0,1,1
352,Male,27,25 - 45,8,High,Hispanic,0,0,0,0,0,1
353,Male,39,25 - 45,1,Low,Other,0,0,0,0,0,0
354,Female,21,Less than 25,6,Medium,Caucasian,0,0,0,2,0,1
355,Male,69,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
356,Male,21,Less than 25,6,Medium,Caucasian,2,0,0,0,0,1
357,Male,26,25 - 45,10,High,African-American,6,0,0,1,1,1
358,Male,22,Less than 25,4,Low,Caucasian,0,0,0,0,0,0
359,Female,23,Less than 25,5,Medium,African-American,0,0,0,0,1,1
360,Male,49,Greater than 45,5,Medium,African-American,3,0,0,0,0,1
361,Male,29,25 - 45,4,Low,African-American,2,0,0,1,0,0
362,Female,60,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
364,Male,23,Less than 25,10,High,African-American,3,2,0,0,1,1
366,Female,20,Less than 25,4,Low,Other,1,1,0,0,0,0
367,Male,36,25 - 45,3,Low,Hispanic,1,0,0,0,0,0
368,Male,30,25 - 45,4,Low,Caucasian,0,0,0,0,0,0
369,Male,21,Less than 25,3,Low,African-American,1,0,1,0,0,0
370,Male,22,Less than 25,6,Medium,Caucasian,2,0,0,0,1,1
372,Male,21,Less than 25,9,High,African-American,4,0,0,0,1,1
373,Male,21,Less than 25,5,Medium,African-American,0,0,0,0,1,1
374,Male,34,25 - 45,1,Low,Caucasian,1,0,0,0,0,0
375,Female,50,Greater than 45,1,Low,Caucasian,1,0,0,0,1,0
376,Male,40,25 - 45,7,Medium,Caucasian,0,0,0,0,1,1
377,Male,25,25 - 45,8,High,African-American,7,0,0,0,1,1
378,Female,53,Greater than 45,1,Low,Caucasian,1,0,0,0,0,0
379,Female,24,Less than 25,4,Low,African-American,0,0,0,0,0,0
380,Male,42,25 - 45,1,Low,African-American,1,0,0,0,0,0
381,Male,28,25 - 45,3,Low,African-American,1,0,0,0,0,0
383,Male,26,25 - 45,8,High,African-American,6,1,1,0,1,1
384,Male,22,Less than 25,9,High,African-American,4,0,0,0,1,1
385,Male,21,Less than 25,7,Medium,Caucasian,3,0,0,0,0,1
386,Male,37,25 - 45,9,High,African-American,23,0,0,0,1,1
387,Male,35,25 - 45,5,Medium,African-American,2,0,0,0,0,1
388,Male,53,Greater than 45,1,Low,African-American,2,0,0,0,0,0
390,Male,29,25 - 45,4,Low,African-American,7,0,0,0,0,0
391,Male,48,Greater than 45,8,High,Caucasian,23,1,0,0,1,1
392,Female,52,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
393,Male,27,25 - 45,8,High,African-American,12,0,0,0,1,1
394,Male,28,25 - 45,9,High,African-American,5,0,0,0,0,1
395,Male,33,25 - 45,3,Low,Caucasian,3,0,0,0,0,0
396,Female,28,25 - 45,2,Low,Hispanic,0,0,0,0,0,0
398,Male,36,25 - 45,7,Medium,African-American,14,0,0,0,1,1
399,Male,29,25 - 45,5,Medium,African-American,2,1,0,0,0,1
400,Male,22,Less than 25,9,High,African-American,0,0,0,1,1,1
402,Male,25,25 - 45,2,Low,Caucasian,0,0,0,0,0,0
404,Male,56,Greater than 45,3,Low,African-American,5,0,0,0,0,0
405,Male,27,25 - 45,8,High,African-American,9,0,0,0,1,1
406,Male,52,Greater than 45,1,Low,Caucasian,4,0,0,0,1,0
407,Male,32,25 - 45,2,Low,African-American,3,0,0,0,0,0
408,Male,60,Greater than 45,1,Low,Other,4,0,0,0,0,0
409,Male,23,Less than 25,3,Low,Hispanic,1,0,0,0,0,0
410,Female,39,25 - 45,6,Medium,Caucasian,0,0,0,0,0,1
411,Male,56,Greater than 45,1,Low,Caucasian,0,0,0,0,0,0
412,Female,22,Less than 25,7,Medium,African-American,0,0,0,0,0,1
414,Male,53,Greater than 45,6,Medium,African-American,11,0,0,0,0,1
415,Male,25,25 - 45,2,Low,Caucasian,0,0,0,0,1,0
416,Male,21,Less than 25,3,Low,Hispanic,0,0,0,0,0,0
417,Male,22,Less than 25,3,Low,Caucasian,0,0,0,0,0,0
418,Female,58,Greater than 45,1,Low,Caucasian,2,0,0,0,0,0
419,Male,31,25 - 45,3,Low,African-American,7,0,0,0,1,0
420,Male,22,Less than 25,5,Medium,Caucasian,1,0,0,0,1,1
421,Male,28,25 - 45,6,Medium,African-American,8,0,0,0,1,1
422,Male,42,25 - 45,1,Low,Other,1,0,0,0,0,0
423,Male,20,Less than 25,7,Medium,African-American,0,0,0,0,1,1
424,Male,29,25 - 45,6,Medium,Caucasian,0,0,0,0,1,1
426,Male,58,Greater than 45,7,Medium,African-American,21,0,0,0,1,1
427,Male,22,Less than 25,7,Medium,African-American,3,0,0,0,0,1
428,Male,48,Greater than 45,1,Low,Hispanic,1,0,0,0,1,0
429,Male,37,25 - 45,4,Low,Caucasian,0,0,0,0,0,0
430,Male,57,Greater than 45,5,Medium,African-American,1,0,0,0,1,1
431,Male,27,25 - 45,1,Low,Caucasian,3,0,0,0,0,0
432,Male,26,25 - 45,4,Low,African-American,3,0,0,0,0,0
433,Male,24,Less than 25,8,High,Caucasian,3,0,1,1,1,1
434,Male,33,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
435,Male,29,25 - 45,6,Medium,African-American,2,0,0,0,0,1
436,Female,24,Less than 25,10,High,African-American,3,0,0,0,1,1
437,Male,19,Less than 25,10,High,Caucasian,1,0,0,1,1,1
438,Male,36,25 - 45,1,Low,Caucasian,2,0,0,0,0,0
439,Female,24,Less than 25,5,Medium,Caucasian,0,0,0,0,0,1
440,Male,34,25 - 45,1,Low,Caucasian,0,0,0,0,0,0
441,Male,25,25 - 45,5,Medium,Hispanic,2,0,0,0,1,1
442,Male,20,Less than 25,10,High,African-American,1,1,0,1,1,1
444,Male,24,Less than 25,2,Low,African-American,1,0,0,0,1,0
445,Male,61,Greater than 45,1,Low,Caucasian,4,0,0,0,0,0
446,Female,50,Greater than 45,2,Low,African-American,3,0,0,0,0,0
447,Male,30,25 - 45,1,Low,African-American,1,0,0,0,0,0
448,Male,38,25 - 45,3,Low,African-American,5,0,0,0,0,0
449,Male,24,Less than 25,1,Low,Caucasian,0,0,0,0,0,0
451,Female,46,Greater than 45,10,High,African-American,2,0,0,0,1,1
452,Male,41,25 - 45,1,Low,Caucasian,0,0,0,0,1,0
453,Male,20,Less than 25,8,High,Other,0,0,0,1,1,1
454,Male,27,25 - 45,8,High,African-American,13,0,0,0,1,1
456,Male,26,25 - 45,6,Medium,African-American,1,0,0,0,1,1
457,Male,29,25 - 45,5,Medium,African-American,3,0,0,0,1,1
458,Male,52,Greater than 45,5,Medium,Caucasian,6,0,0,0,1,1
459,Male,28,25 - 45,4,Low,Caucasian,1,0,0,0,1,0
461,Male,55,Greater than 45,3,Low,African-American,5,0,0,0,1,0
462,Male,26,25 - 45,9,High,African-American,10,1,1,0,1,1
463,Male,28,25 - 45,10,High,African-American,5,0,0,0,0,1
464,Male,63,Greater than 45,1,Low,Caucasian,2,0,0,0,0,0
465,Male,42,25 - 45,1,Low,African-American,0,0,0,0,0,0
466,Male,23,Less than 25,6,Medium,African-American,6,1,2,2,0,1
467,Male,54,Greater than 45,9,High,African-American,28,0,0,0,1,1
468,Male,35,25 - 45,7,Medium,African-American,8,0,0,1,1,1
469,Female,24,Less than 25,9,High,African-American,6,1,0,0,1,1
470,Male,54,Greater than 45,1,Low,African-American,2,0,0,0,0,0
