,race,gender,is_recid,score
327,African-American,Male,1,1
328,Caucasian,Male,1,1
329,Caucasian,Male,1,0
331,Hispanic,Male,0,1
332,African-American,Female,0,1
333,Caucasian,Female,1,0
334,Hispanic,Female,0,0
335,Caucasian,Male,0,1
336,African-American,Female,1,1
337,Caucasian,Male,0,0
338,African-American,Male,0,0
340,Other,Male,1,0
341,African-American,Male,0,0
342,Caucasian,Female,0,1
343,Hispanic,Male,0,0
346,African-American,Male,1,1
347,African-American,Male,0,1
348,African-American,Male,0,0
350,Caucasian,Male,0,0
351,African-American,Male,1,1
352,Hispanic,Male,0,1
353,Other,Male,0,0
354,Caucasian,Female,0,1
355,Caucasian,Male,0,0
356,Caucasian,Male,0,1
357,African-American,Male,1,1
358,Caucasian,Male,0,0
359,African-American,Female,1,1
360,African-American,Male,0,1
361,African-American,Male,0,0
362,Caucasian,Female,0,0
364,African-American,Male,1,1
366,Other,Female,0,0
367,Hispanic,Male,0,0
368,Caucasian,Male,0,0
369,African-American,Male,0,0
370,Caucasian,Male,1,1
372,African-American,Male,1,1
373,African-American,Male,1,1
374,Caucasian,Male,0,0
375,Caucasian,Female,1,0
376,Caucasian,Male,1,1
377,African-American,Male,1,1
378,Caucasian,Female,0,0
379,African-American,Female,0,0
380,African-American,Male,0,0
381,African-American,Male,0,0
383,African-American,Male,1,1
384,African-American,Male,1,1
385,Caucasian,Male,0,1
386,African-American,Male,1,1
387,African-American,Male,0,1
388,African-American,Male,0,0
390,African-American,Male,0,0
391,Caucasian,Male,1,1
392,Caucasian,Female,0,0
393,African-American,Male,1,1
394,African-American,Male,0,1
395,Caucasian,Male,0,0
396,Hispanic,Female,0,0
398,African-American,Male,1,1
399,African-American,Male,0,1
400,African-American,Male,1,1
402,Caucasian,Male,0,0
404,African-American,Male,0,0
405,African-American,Male,1,1
406,Caucasian,Male,1,0
407,African-American,Male,0,0
408,Other,Male,0,0
409,Hispanic,Male,0,0
410,Caucasian,Female,0,1
411,Caucasian,Male,0,0
412,African-American,Female,0,1
414,African-American,Male,0,1
415,Caucasian,Male,1,0
416,Hispanic,Male,0,0
417,Caucasian,Male,0,0
418,Caucasian,Female,0,0
419,African-American,Male,1,0
420,Caucasian,Male,1,1
421,African-American,Male,1,1
422,Other,Male,0,0
423,African-American,Male,1,1
424,Caucasian,Male,1,1
426,African-American,Male,1,1
427,African-American,Male,0,1
428,Hispanic,Male,1,0
429,Caucasian,Male,0,0
430,African-American,Male,1,1
431,Caucasian,Male,0,0
432,African-American,Male,0,0
433,Caucasian,Male,1,1
434,Caucasian,Male,0,0
435,African-American,Male,0,1
436,African-American,Female,1,1
437,Caucasian,Male,1,1
438,Caucasian,Male,0,0
439,Caucasian,Female,0,1
440,Caucasian,Male,0,0
441,Hispanic,Male,1,1
442,African-American,Male,1,1
444,African-American,Male,1,0
445,Caucasian,Male,0,0
446,African-American,Female,0,0
447,African-American,Male,0,0
448,African-American,Male,0,0
449,Caucasian,Male,0,0
451,African-American,Female,1,1
452,Caucasian,Male,1,0
453,Other,Male,1,1
454,African-American,Male,1,1
456,African-American,Male,1,1
457,African-American,Male,1,1
458,Caucasian,Male,1,1
459,Caucasian,Male,1,0
461,African-American,Male,1,0
462,African-American,Male,1,1
463,African-American,Male,0,1
464,Caucasian,Male,0,0
465,African-American,Male,0,0
466,African-American,Male,0,1
467,African-American,Male,1,1
468,African-American,Male,1,1
469,African-American,Female,1,1
470,African-American,Male,0,0
471,African-American,Male,1,1
472,Caucasian,Male,1,1
473,African-American,Male,0,0
474,African-American,Male,1,1
475,Caucasian,Male,0,0
476,Hispanic,Male,0,1
477,Caucasian,Male,0,0
478,Caucasian,Male,0,0
479,Caucasian,Male,1,1
480,Caucasian,Male,0,0
481,Hispanic,Male,1,0
482,Caucasian,Male,1,0
483,Asian,Male,0,1
484,Hispanic,Male,0,0
485,Hispanic,Male,0,0
486,Caucasian,Female,1,1
487,Caucasian,Male,1,1
489,Asian,Male,1,1
490,African-American,Male,0,0
491,Caucasian,Female,0,0
493,Caucasian,Male,1,0
494,African-American,Male,0,0
495,African-American,Male,1,0
496,Caucasian,Female,0,0
497,African-American,Male,0,1
500,Caucasian,Male,1,0
501,Hispanic,Male,1,1
502,Hispanic,Male,0,0
503,African-American,Male,1,1
504,Caucasian,Male,0,1
505,Caucasian,Male,0,0
506,Caucasian,Male,0,0
508,Caucasian,Male,0,0
510,Other,Male,0,1
511,African-American,Female,0,0
512,Caucasian,Female,0,0
513,Hispanic,Male,0,0
514,Other,Male,0,0
515,African-American,Male,0,0
516,African-American,Female,0,0
517,Other,Male,0,0
518,African-American,Male,1,1
519,African-American,Male,1,1
520,Caucasian,Male,0,0
521,Caucasian,Male,1,1
523,African-American,Male,0,1
524,African-American,Male,1,0
525,Caucasian,Male,1,0
526,Caucasian,Male,0,0
527,Caucasian,Male,0,1
528,Caucasian,Male,0,0
529,African-American,Male,1,0
530,African-American,Male,0,0
531,African-American,Male,1,0
532,Caucasian,Male,1,0
533,Caucasian,Male,1,0
534,Other,Male,0,0
535,Caucasian,Male,0,0
536,Hispanic,Male,0,1
537,African-American,Male,0,1
538,African-American,Male,1,1
539,Caucasian,Male,1,1
541,Hispanic,Male,1,1
542,Caucasian,Male,0,0
543,African-American,Male,1,1
544,Hispanic,Male,1,0
545,Caucasian,Male,1,1
546,African-American,Male,0,0
548,Caucasian,Male,0,0
550,African-American,Male,0,1
551,African-American,Male,0,1
552,African-American,Male,0,1
553,Other,Female,0,0
554,African-American,Male,1,0
555,African-American,Male,1,1
556,Caucasian,Male,0,0
557,African-American,Male,1,1
558,African-American,Male,0,0
559,African-American,Male,0,0
560,Caucasian,Male,0,1
561,African-American,Male,1,1
562,African-American,Female,0,0
563,African-American,Male,0,1
564,Caucasian,Male,1,0
565,Caucasian,Male,0,0
566,Hispanic,Male,0,1
567,African-American,Male,1,0
568,Caucasian,Male,0,0
569,African-American,Female,1,0
570,Caucasian,Male,0,0
571,African-American,Male,0,1
572,Hispanic,Male,0,1
573,African-American,Female,0,0
575,Hispanic,Male,0,0
576,Caucasian,Female,1,0
577,Caucasian,Male,1,0
579,Caucasian,Male,1,0
580,Caucasian,Female,0,0
581,African-American,Male,1,1
582,Caucasian,Female,0,0
583,Caucasian,Male,0,0
584,Other,Male,1,1
586,Hispanic,Male,0,0
587,Other,Male,0,0
590,African-American,Male,0,0
591,Caucasian,Female,0,1
592,African-American,Male,0,0
593,Hispanic,Male,1,0
594,Hispanic,Male,0,0
595,Caucasian,Female,0,1
596,African-American,Male,0,0
597,African-American,Male,1,1
598,African-American,Male,1,1
600,African-American,Male,0,0
601,African-American,Male,1,1
602,African-American,Female,0,0
603,Hispanic,Male,1,1
604,African-American,Male,0,1
605,Caucasian,Male,1,1
607,Caucasian,Female,0,0
608,Caucasian,Male,0,0
609,African-American,Male,1,1
610,Caucasian,Male,0,0
611,African-American,Male,1,1
613,African-American,Male,1,1
614,Caucasian,Male,0,0
616,Caucasian,Male,1,0
617,African-American,Male,0,0
619,African-American,Male,1,0
620,Caucasian,Female,0,1
621,African-American,Female,0,1
622,Caucasian,Female,1,1
623,African-American,Male,0,0
624,African-American,Male,0,0
625,African-American,Male,1,1
627,Hispanic,Male,0,0
628,African-American,Male,1,1
629,Caucasian,Male,1,1
630,Caucasian,Male,0,1
631,Caucasian,Male,0,1
632,Caucasian,Male,1,1
633,African-American,Male,0,0
634,African-American,Male,1,1
635,Caucasian,Female,1,0
636,Other,Male,0,1
637,African-American,Female,1,0
638,Caucasian,Female,1,0
639,African-American,Male,0,0
640,African-American,Female,0,1
641,African-American,Male,0,0
645,African-American,Male,1,1
646,African-American,Female,0,1
647,Caucasian,Female,0,1
649,Caucasian,Male,1,0
650,African-American,Male,1,1
651,African-American,Male,1,0
653,African-American,Male,1,1
654,Caucasian,Male,1,0
655,African-American,Male,1,1
656,African-American,Male,0,1
657,African-American,Male,0,1
658,African-American,Male,1,1
659,Hispanic,Male,1,1
660,African-American,Male,1,0
661,African-American,Male,0,0
662,African-American,Female,0,0
663,Caucasian,Male,0,0
664,Hispanic,Male,0,0
665,African-American,Male,0,1
666,African-American,Male,0,0
667,Other,Male,1,1
670,Other,Male,0,0
671,African-American,Female,0,0
672,Caucasian,Female,0,0
673,African-American,Male,0,0
674,African-American,Male,1,1
675,African-American,Male,1,1
676,African-American,Male,0,1
677,Caucasian,Female,0,0
678,Caucasian,Female,1,1
679,Hispanic,Male,1,1
680,African-American,Male,1,1
681,African-American,Male,0,0
682,Asian,Male,1,1
683,Caucasian,Male,1,0
686,African-American,Male,0,1
687,African-American,Male,0,1
689,African-American,Male,1,1
690,Caucasian,Male,0,0
691,African-American,Male,1,0
694,Caucasian,Male,1,1
695,African-American,Male,1,1
696,African-American,Male,0,0
697,African-American,Male,0,1
698,African-American,Male,0,0
699,African-American,Male,0,0
700,African-American,Male,0,0
701,African-American,Male,1,1
702,African-American,Male,1,1
703,Caucasian,Male,0,0
704,Caucasian,Female,1,0
705,Caucasian,Male,0,0
707,African-American,Male,0,0
708,Hispanic,Male,0,0
709,Caucasian,Female,0,1
710,African-American,Male,1,1
713,African-American,Male,1,1
714,African-American,Male,0,0
715,African-American,Male,0,1
716,Caucasian,Male,1,0
717,Caucasian,Male,0,0
718,Caucasian,Male,1,0
719,Hispanic,Male,0,1
720,Caucasian,Male,0,0
721,Caucasian,Male,1,0
722,Caucasian,Male,0,0
724,Caucasian,Male,0,0
725,Hispanic,Female,0,0
726,African-American,Male,0,1
728,Caucasian,Male,0,0
729,Caucasian,Male,1,0
730,African-American,Male,1,0
731,African-American,Female,1,1
732,African-American,Male,0,1
734,African-American,Male,1,1
735,African-American,Male,0,1
736,African-American,Male,0,0
737,African-American,Male,0,0
738,African-American,Male,0,1
739,African-American,Male,1,1
740,African-American,Male,0,0
741,Caucasian,Female,0,1
742,Other,Male,0,0
743,Caucasian,Male,1,1
744,African-American,Male,1,1
745,Caucasian,Female,0,0
747,African-American,Male,1,1
748,African-American,Female,0,1
749,African-American,Male,0,0
750,African-American,Male,0,1
751,African-American,Female,0,1
752,African-American,Male,1,1
753,African-American,Female,0,1
754,African-American,Male,1,1
755,African-American,Male,1,1
757,African-American,Female,1,1
758,Other,Male,1,0
759,Other,Female,0,1
760,Caucasian,Female,1,1
761,African-American,Female,0,0
762,Native American,Male,0,1
764,African-American,Female,0,0
765,African-American,Female,0,1
766,African-American,Male,1,1
767,African-American,Male,0,1
768,Other,Male,0,0
769,African-American,Male,1,1
771,African-American,Male,0,0
772,Other,Male,1,0
773,Hispanic,Male,0,0
774,African-American,Male,0,0
775,African-American,Male,1,1
776,Caucasian,Male,0,0
777,Caucasian,Male,0,0
778,African-American,Male,0,0
779,African-American,Female,0,1
780,Caucasian,Male,1,0
781,Caucasian,Male,1,1
782,Caucasian,Male,1,0
783,African-American,Male,0,1
784,Caucasian,Male,0,1
785,Other,Male,0,0
786,African-American,Female,0,1
787,Caucasian,Male,0,0
788,African-American,Male,1,1
789,Caucasian,Male,0,0
790,African-American,Male,1,1
791,African-American,Male,1,1
792,Other,Female,0,0
793,African-American,Male,0,0
794,Other,Male,0,0
797,Caucasian,Male,0,0
798,African-American,Female,1,1
799,African-American,Female,0,0
800,Hispanic,Male,0,0
801,Caucasian,Male,0,1
802,African-American,Male,1,0
803,African-American,Female,0,0
804,African-American,Male,0,0
805,Other,Male,0,1
806,African-American,Male,1,1
808,African-American,Male,1,0
811,African-American,Male,0,1
812,African-American,Male,0,0
814,Caucasian,Male,0,0
816,African-American,Male,1,1
817,African-American,Male,0,1
818,Caucasian,Female,1,0
819,African-American,Male,1,1
820,African-American,Male,0,1
821,Caucasian,Male,1,0
822,Other,Female,1,0
823,Caucasian,Male,0,0
824,Caucasian,Male,0,0
825,African-American,Male,1,1
826,African-American,Female,0,0
827,Caucasian,Male,0,0
828,African-American,Male,1,1
829,Other,Male,0,0
830,Other,Male,1,0
831,African-American,Male,0,1
832,African-American,Male,1,1
833,African-American,Male,1,1
834,African-American,Male,1,1
835,African-American,Male,1,1
836,Caucasian,Male,1,0
837,African-American,Male,1,1
838,African-American,Male,0,0
839,Caucasian,Male,0,0
840,African-American,Male,1,0
841,African-American,Male,0,0
843,African-American,Male,1,1
844,Other,Male,0,0
845,Caucasian,Male,0,0
846,African-American,Male,1,1
847,Caucasian,Male,1,1
848,Caucasian,Female,1,0
849,African-American,Male,0,1
850,African-American,Male,1,1
851,Caucasian,Male,1,0
852,African-American,Male,1,1
853,Caucasian,Male,0,0
854,African-American,Male,1,1
855,Caucasian,Male,0,0
856,Caucasian,Male,0,0
858,African-American,Male,0,1
859,Caucasian,Female,0,1
860,African-American,Male,1,0
862,African-American,Male,0,1
863,African-American,Male,1,0
864,Caucasian,Female,0,1
865,African-American,Male,1,1
866,African-American,Male,1,1
867,African-American,Male,0,0
868,African-American,Male,1,1
869,Other,Male,0,0
871,African-American,Female,0,0
872,Caucasian,Male,0,0
873,African-American,Female,0,0
874,African-American,Male,0,1
875,African-American,Female,0,0
876,Caucasian,Male,1,1
877,Caucasian,Male,0,0
878,African-American,Male,1,1
879,Other,Male,1,0
880,African-American,Male,0,0
882,Caucasian,Male,0,0
884,African-American,Male,0,1
885,Hispanic,Male,1,1
886,African-American,Male,0,0
887,Caucasian,Male,1,0
888,African-American,Male,0,1
889,Caucasian,Female,1,0
890,African-American,Female,0,1
891,Hispanic,Male,0,0
892,African-American,Male,1,1
893,Caucasian,Male,1,1
894,Caucasian,Male,1,0
895,Hispanic,Male,0,0
896,Hispanic,Female,0,0
897,African-American,Male,1,1
898,African-American,Male,1,0
899,African-American,Male,1,0
900,Hispanic,Male,1,0
901,Caucasian,Female,0,0
902,African-American,Male,1,0
904,Caucasian,Female,0,0
905,Caucasian,Female,0,0
906,Caucasian,Male,0,0
907,Hispanic,Male,0,0
908,Hispanic,Male,0,1
909,African-American,Male,1,1
910,African-American,Male,1,1
911,African-American,Male,1,0
912,African-American,Male,0,0
913,Caucasian,Male,0,1
914,African-American,Male,1,0
915,Caucasian,Female,1,0
916,African-American,Male,1,0
917,African-American,Male,1,1
918,African-American,Male,1,1
919,African-American,Male,0,1
920,Caucasian,Male,0,0
921,African-American,Male,0,0
923,African-American,Male,1,1
924,African-American,Male,0,0
925,Hispanic,Female,0,0
926,Hispanic,Male,0,0
927,Hispanic,Male,0,0
928,Caucasian,Female,0,0
929,Hispanic,Female,1,0
931,African-American,Male,1,1
932,African-American,Male,0,1
933,African-American,Male,1,1
934,Hispanic,Male,0,0
935,Caucasian,Male,0,1
936,African-American,Male,0,1
937,African-American,Male,1,0
938,African-American,Male,1,1
939,Caucasian,Female,0,1
940,Caucasian,Male,0,0
941,African-American,Male,1,1
942,African-American,Male,1,1
943,African-American,Male,1,1
944,Caucasian,Male,0,0
945,Caucasian,Male,0,0
946,Caucasian,Male,0,0
947,Caucasian,Female,1,1
948,African-American,Male,0,0
949,African-American,Male,1,1
950,Caucasian,Male,0,0
951,Hispanic,Female,1,1
952,African-American,Male,1,1
953,Hispanic,Male,0,0
954,African-American,Male,1,1
956,African-American,Male,1,1
957,African-American,Male,1,1
958,Caucasian,Male,1,1
960,African-American,Male,1,0
961,African-American,Female,0,0
963,African-American,Male,1,0
964,African-American,Male,0,0
965,African-American,Female,0,1
966,African-American,Male,0,0
967,Caucasian,Male,1,1
968,African-American,Male,1,1
969,Hispanic,Male,0,0
971,African-American,Male,1,0
972,African-American,Female,0,0
973,African-American,Male,1,1
974,Caucasian,Male,0,0
976,African-American,Male,1,1
977,Caucasian,Male,0,0
978,African-American,Male,1,1
980,African-American,Female,0,0
981,Hispanic,Male,0,0
982,African-American,Male,0,0
984,African-American,Male,1,1
985,African-American,Male,0,0
986,Hispanic,Male,1,0
989,Caucasian,Male,0,1
990,African-American,Male,0,1
992,African-American,Male,0,0
994,Hispanic,Male,0,0
995,Hispanic,Male,1,1
996,Hispanic,Male,0,0
997,African-American,Male,0,1
998,African-American,Male,0,1
999,Hispanic,Male,1,1
1001,Caucasian,Male,0,0
1002,African-American,Male,0,1
1003,African-American,Male,0,1
1004,African-American,Male,1,1
1005,African-American,Male,1,1
1006,African-American,Male,0,1
1007,African-American,Male,1,1
1009,Caucasian,Male,0,0
1010,Hispanic,Male,0,0
1011,Hispanic,Male,1,0
1014,African-American,Female,0,0
1016,Caucasian,Male,0,0
1017,Hispanic,Male,1,0
1018,Hispanic,Male,0,0
1019,African-American,Female,0,0
1020,African-American,Male,1,1
1022,Other,Male,1,0
1023,African-American,Female,1,1
1024,Caucasian,Male,0,0
1025,African-American,Male,0,0
1027,African-American,Male,1,0
1028,African-American,Male,1,1
1029,African-American,Male,0,0
1030,Caucasian,Male,0,0
1031,Caucasian,Male,0,0
1032,Other,Male,0,0
1033,Caucasian,Male,0,0
1034,African-American,Male,1,1
1035,African-American,Male,1,0
1036,Caucasian,Female,0,0
1037,African-American,Female,0,1
1038,African-American,Male,1,1
1039,African-American,Male,1,0
1040,African-American,Male,0,0
1041,Caucasian,Female,0,0
1042,Caucasian,Male,1,0
1043,African-American,Male,0,0
1044,African-American,Male,1,1
1045,Hispanic,Male,0,0
1046,African-American,Female,0,1
1047,African-American,Female,1,1
1048,Caucasian,Female,1,1
1049,African-American,Male,0,0
1050,African-American,Male,0,0
1051,Caucasian,Female,0,0
1052,Other,Male,0,0
1053,Caucasian,Male,0,0
1054,African-American,Male,0,0
1055,African-American,Male,0,1
1056,African-American,Male,1,1
1057,African-American,Male,1,1
1058,African-American,Male,1,0
1060,African-American,Male,0,1
1061,Caucasian,Female,0,1
1062,Caucasian,Male,1,0
1063,African-American,Male,1,1
1064,Caucasian,Male,0,0
1065,African-American,Male,0,0
1066,African-American,Male,1,0
1067,Hispanic,Male,0,0
1068,Caucasian,Male,0,0
1069,Caucasian,Male,0,1
1070,Caucasian,Male,0,0
1072,African-American,Female,1,1
1073,Hispanic,Male,0,0
1074,Caucasian,Male,0,0
1075,African-American,Male,1,0
1076,Caucasian,Male,0,0
1077,Caucasian,Male,0,1
1078,African-American,Male,1,0
1079,Hispanic,Male,0,0
1080,African-American,Male,0,0
1081,Hispanic,Female,0,0
1082,African-American,Male,1,1
1084,Caucasian,Male,0,1
1087,Caucasian,Male,1,1
1088,African-American,Male,0,1
1089,Caucasian,Female,1,1
1090,African-American,Male,1,1
1091,African-American,Female,0,1
1096,Caucasian,Male,0,0
1097,African-American,Male,0,0
1098,Caucasian,Male,0,0
1100,Caucasian,Female,0,1
1101,Hispanic,Male,1,1
1102,African-American,Female,1,1
1104,Caucasian,Male,1,0
1105,Caucasian,Male,0,1
1106,Caucasian,Male,0,0
1108,Other,Male,0,1
1109,Caucasian,Female,0,0
1110,Caucasian,Female,0,0
1111,African-American,Male,1,0
1113,African-American,Male,1,1
1116,African-American,Male,1,1
1117,African-American,Male,0,0
1118,African-American,Male,1,1
1119,Caucasian,Male,0,0
1120,Caucasian,Female,0,0
1122,African-American,Male,1,1
1124,African-American,Male,1,1
1125,African-American,Male,1,1
1126,African-American,Male,1,0
1129,African-American,Female,0,0
1131,African-American,Male,1,0
1132,African-American,Male,0,0
1134,Caucasian,Female,0,1
1136,Caucasian,Male,0,0
1137,African-American,Female,0,1
1138,African-American,Female,0,1
1140,Other,Male,1,0
1141,Caucasian,Male,1,0
1143,Caucasian,Female,0,0
1144,Caucasian,Male,1,0
1145,Caucasian,Female,0,1
1146,Caucasian,Male,0,0
1147,African-American,Female,0,1
1149,Caucasian,Male,0,0
1151,Caucasian,Male,1,1
1152,Caucasian,Female,0,0
1154,African-American,Male,0,0
1155,African-American,Male,1,0
1156,Hispanic,Male,1,0
1158,Caucasian,Male,0,0
1159,African-American,Male,1,1
1161,African-American,Female,0,1
1162,Caucasian,Male,0,0
1163,Hispanic,Male,0,0
1164,African-American,Male,0,1
1165,African-American,Male,0,1
1166,Hispanic,Male,1,1
1167,African-American,Male,1,1
1168,Native American,Male,0,1
1169,African-American,Male,0,0
1170,Hispanic,Female,0,1
1171,African-American,Male,1,0
1172,African-American,Female,1,1
1174,African-American,Male,0,1
1175,African-American,Female,0,0
1176,Caucasian,Male,0,0
1178,African-American,Male,1,1
1179,Caucasian,Female,1,1
1180,Other,Male,1,0
1181,Hispanic,Male,0,0
1182,Native American,Male,0,0
1183,Caucasian,Female,1,1
1184,African-American,Female,1,0
1185,Other,Male,0,1
